iter	Passed	Remaining
780	16129	4522
781	16169	4507
782	16194	4488
783	16222	4469
784	16249	4450
785	16275	4431
786	16292	4409
787	16308	4387
788	16323	4365
789	16336	4342
790	16373	4326
791	16415	4311
792	16450	4294
793	16474	4274
794	16515	4258
795	16535	4237
796	16554	4216
797	16574	4195
798	16595	4174
799	16620	4155
800	16648	4136
801	16667	4114
802	16690	4094
803	16718	4075
804	16748	4057
805	16774	4037
806	16794	4016
807	16827	3998
808	16853	3978
809	16891	3962
810	16913	3941
